"Domain","Topic","Data Source","Variable Name","Variable Label"
"1. social context","Demographics","ACS","ACS_PCT_SPANISH_census_tractlevel","Percentage of population that speaks Spanish (ages 5 and over)"
"4. physical infrastructure","Transportation","ACS","ACS_PCT_TAXICAB_2WORK_census_tractlevel","Percentage of workers taking taxicab, motorcycle, bicycle, or other means to work (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_TRANSPORT_census_tractlevel","Percentage of employed working in transportation and warehousing, and in utilities (ages 16 and over)"
"2. economic context","Employment","ACS","ACS_PCT_UNEMPLOY_census_tractlevel","Percentage of civilian labor force that is unemployed (ages 16 and over)"
"4. physical infrastructure","Housing","ACS","ACS_PCT_VACANT_HU_census_tractlevel","Percentage of housing units vacant"
"1. social context","Demographics","ACS","ACS_PCT_VET_census_tractlevel","Percentage of the civilian population consisting of veterans (ages 18 and over)"
"3. education","Attainment","ACS","ACS_PCT_VET_BACHELOR_census_tractlevel","Percentage of civilian veterans that have a bachelor's degree or higher (ages 25 and over)"
"3. education","Attainment","ACS","ACS_PCT_VET_COLLEGE_census_tractlevel","Percentage of civilian veterans that have some college education or an associate's degree (ages 25 and over)"
"1. social context","Disability","ACS","ACS_PCT_VET_DISABLE_18_64_census_tractlevel","Percentage of civilian veterans with a disability (between ages 18 and 64)"
"3. education","Attainment","ACS","ACS_PCT_VET_HS_census_tractlevel","Percentage of civilian veterans who are high school graduates or less than high school graduates (age 25 years and over)"
"2. economic context","Employment","ACS","ACS_PCT_VET_LABOR_FORCE_18_64_census_tractlevel","Percentage of civilian veterans in labor force (between ages 18 and 64)"
"2. economic context","Poverty","ACS","ACS_PCT_VET_POV_18_64_census_tractlevel","Percentage of civilian veterans with income below the poverty level in past 12 months (between ages 18 and 64)"
"2. economic context","Employment","ACS","ACS_PCT_VET_UNEMPL_18_64_census_tractlevel","Percentage of civilian veterans that are unemployed (between ages 18 and 64)"
"1. social context","Demographics","ACS","ACS_PCT_VIETNAM_census_tractlevel","Percentage of the civilian veteran population that served in the Vietnam era (ages 18 and over)"
